run_date,prediction_date,ticker,rank_bucket,agreement_status,suggested_action,reason,current_price,ensemble_score,ensemble_rank,ensemble_percentile,model_count,top_decile_model_count,top_5pct_model_count,best_model_score,best_model_percentile
2026-05-08T20:27:33Z,2026-05-07,RDZN,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.87,0.5426027278105418,412,8.630079597821533,3,1,1,0.5905805230140686,3.456221198156682
2026-05-08T20:27:33Z,2026-05-07,WTO,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.01,0.542405903339386,413,8.651026392961876,3,1,1,0.6536597609519958,4.545454545454546
2026-05-08T20:27:33Z,2026-05-07,AMD,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,408.46,0.5422704219818115,414,8.67197318810222,3,2,1,0.6376802921295166,2.5764558022622537
2026-05-08T20:27:33Z,2026-05-07,CLX,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,92.11,0.5421587030092875,415,8.692919983242565,3,1,1,0.6833510398864746,1.5291160452450776
2026-05-08T20:27:33Z,2026-05-07,BMEA,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.63,0.5420811971028646,416,8.713866778382908,3,1,0,0.6421588063240051,6.640134059488898
2026-05-08T20:27:33Z,2026-05-07,DVN,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,45.31,0.5419988334178925,417,8.734813573523251,3,1,0,0.6115262508392334,8.127356514453288
2026-05-08T20:27:33Z,2026-05-07,NNBR,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,2.76,0.5418020288149515,418,8.755760368663594,3,2,0,0.6294648051261902,9.216589861751151
2026-05-08T20:27:33Z,2026-05-07,CVV,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,6.98,0.5417999525864919,419,8.776707163803938,3,2,0,0.6277636885643005,7.561793045664014
2026-05-08T20:27:33Z,2026-05-07,SSM,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,4.85,0.5417357881863912,420,8.79765395894428,3,1,1,0.6578609943389893,4.084625052366988
2026-05-08T20:27:33Z,2026-05-07,ALLO,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,2.27,0.5417242646217346,421,8.818600754084626,3,1,0,0.642104983329773,6.661080854629242
2026-05-08T20:27:33Z,2026-05-07,CSTL,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,19.24,0.541642963886261,422,8.839547549224969,3,1,1,0.6883072257041931,1.550062840385421
2026-05-08T20:27:33Z,2026-05-07,OEC,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,7.16,0.5415080189704895,423,8.860494344365312,3,1,0,0.6521066427230835,5.090071219103478
2026-05-08T20:27:33Z,2026-05-07,NEOV,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,2.48,0.5414703587690989,424,8.881441139505656,3,2,0,0.6466436982154846,5.320485965647256
2026-05-08T20:27:33Z,2026-05-07,ORKA,TOP_DECILE,WEAK (0/3 top-decile),WATCHLIST,Top decile but weak model agreement,64.07,0.5412592391173044,425,8.902387934645999,3,0,0,0.6166220903396606,11.059907834101383
2026-05-08T20:27:33Z,2026-05-07,BFLY,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,4.24,0.5412045021851858,426,8.923334729786342,3,1,0,0.6359819173812866,7.436112274821952
2026-05-08T20:27:33Z,2026-05-07,NOW,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,93.59,0.5411948561668396,427,8.944281524926685,3,1,1,0.5444128513336182,0.9844993715961458
2026-05-08T20:27:33Z,2026-05-07,BYRN,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,5.53,0.5411705573399862,428,8.96522832006703,3,1,1,0.6803295612335205,1.8014243820695433
2026-05-08T20:27:33Z,2026-05-07,CDXS,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,2.58,0.5411697824796041,429,8.986175115207374,3,1,0,0.6161310076713562,9.153749476330121
2026-05-08T20:27:33Z,2026-05-07,ZTS,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,87.31,0.5410086115201315,430,9.007121910347717,3,1,1,0.6687309741973877,3.2467532467532467
2026-05-08T20:27:33Z,2026-05-07,BTMD,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,2.09,0.540755699078242,431,9.02806870548806,3,1,1,0.6772538423538208,2.220360284876414
2026-05-08T20:27:33Z,2026-05-07,HCHL,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,2.01,0.5407195587952932,432,9.049015500628403,3,2,1,0.6824507117271423,1.6338500209467952
2026-05-08T20:27:33Z,2026-05-07,PN,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,7.71,0.5407023429870605,433,9.069962295768747,3,2,1,0.6517632007598877,1.9689987431922915
2026-05-08T20:27:33Z,2026-05-07,POOL,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,190.44,0.5406826635201772,434,9.090909090909092,3,1,1,0.6991813778877258,0.16757436112274823
2026-05-08T20:27:33Z,2026-05-07,AHG,TOP_DECILE,WEAK (0/3 top-decile),WATCHLIST,Top decile but weak model agreement,2.05,0.5405065715312958,435,9.111855886049435,3,0,0,0.6164026856422424,10.138248847926267
2026-05-08T20:27:33Z,2026-05-07,EVER,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,20.6,0.5404819746812185,436,9.132802681189778,3,1,1,0.6626155376434326,3.937997486384583
2026-05-08T20:27:33Z,2026-05-07,STTK,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,6.26,0.5404616296291351,437,9.153749476330121,3,1,1,0.6850464940071106,1.8014243820695433
2026-05-08T20:27:33Z,2026-05-07,AZTA,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,18.57,0.5403631428877512,438,9.174696271470465,3,1,1,0.6585547924041748,3.9589442815249267
2026-05-08T20:27:33Z,2026-05-07,COIN,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,192.96,0.540312260389328,439,9.195643066610808,3,1,1,0.6130288243293762,2.304147465437788
2026-05-08T20:27:33Z,2026-05-07,INV,TOP_DECILE,WEAK (0/3 top-decile),WATCHLIST,Top decile but weak model agreement,6.21,0.5402880311012268,440,9.216589861751151,3,0,0,0.612833559513092,10.242982823627985
2026-05-08T20:27:33Z,2026-05-07,RAYA,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,4.48,0.5402504205703735,441,9.237536656891496,3,1,1,0.6022769808769226,3.7913699204021785
2026-05-08T20:27:33Z,2026-05-07,EFOI,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,3.84,0.540232241153717,442,9.25848345203184,3,2,1,0.6235595345497131,2.3669878508588185
2026-05-08T20:27:33Z,2026-05-07,VWAV,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,5.84,0.5402317841847738,443,9.279430247172183,3,1,0,0.6336960792541504,7.792207792207792
2026-05-08T20:27:33Z,2026-05-07,UPB,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,8.985,0.5401879251003265,444,9.300377042312526,3,1,0,0.6020314693450928,5.990783410138249
2026-05-08T20:27:33Z,2026-05-07,ABTS,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,1.15,0.5401867131392161,445,9.32132383745287,3,1,0,0.6390283107757568,7.017176372015082
2026-05-08T20:27:33Z,2026-05-07,MASK,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,2.48,0.5401764710744222,446,9.342270632593213,3,2,0,0.6467182040214539,5.3623795559279435
2026-05-08T20:27:33Z,2026-05-07,RXST,TOP_DECILE,WEAK (1/3 top-decile),WATCHLIST,Top decile but weak model agreement,5.8,0.5401748617490133,447,9.363217427733558,3,1,1,0.681768536567688,2.0108923334729787
2026-05-08T20:27:33Z,2026-05-07,LICN,TOP_DECILE,STRONG (2/3 top-decile),WATCHLIST,Top decile with 2/3 model agreement,5.94,0.5401191214720408,448,9.3841642228739,3,2,0,0.6296089291572571,5.131964809384164
